Concurrent Requests,Total Requests,Requests/Second,Successes,Failures,Losses,Success Rate,Successful Requests/Second,Started,Ended,Configured Requests/Second,Test Mode,Send Phase Duration,Drain Phase Duration,Actual Send Rate,Matched Responses,Unmatched Responses,Duplicate Responses,Timed-Out Outstanding Requests,Maximum Send Lateness (ms),Average Send Lateness (ms),Minimum Observed Inter-Send Gap (us),Maximum Observed Inter-Send Gap (ms),Sends Violating Minimum Gap,Schedule Recovery Duration (ms),Sender Blocked by Outstanding Window Duration (ms),Grace Period (ms),Required Drain Period (ms)
0,94486,"18,897.20",91994,0,2492,97.36%,"18,398.80",2026-09-13T12:42:07.0203892-04:00,2026-09-13T12:42:22.0965711-04:00,19500,Paced,5.000000,10.012258,"18,897.20",91994,0,0,2492,12.957,0.002,51.200,13.008,0,0.000,0.000,3000,10000
1,95147,"19,029.40",91645,0,3502,96.32%,"18,329.00",2026-09-13T12:42:23.1283325-04:00,2026-09-13T12:42:38.1656601-04:00,19500,Paced,5.000000,10.001198,"19,029.40",91645,0,0,3502,12.367,0.001,51.200,12.419,0,0.000,0.000,3000,10000
2,95396,"19,079.20",91641,0,3755,96.06%,"18,328.20",2026-09-13T12:42:39.1770881-04:00,2026-09-13T12:42:54.2191847-04:00,19500,Paced,5.000000,10.007615,"19,079.20",91641,0,0,3755,11.824,0.001,51.200,11.876,0,0.000,0.000,3000,10000
3,95533,"19,106.60",91653,0,3880,95.94%,"18,330.60",2026-09-13T12:42:55.2292749-04:00,2026-09-13T12:43:10.3084498-04:00,19500,Paced,5.000000,10.010639,"19,106.60",91653,0,0,3880,20.405,0.001,51.200,20.457,0,0.000,0.000,3000,10000
4,95549,"19,109.80",91548,0,4001,95.81%,"18,309.60",2026-09-13T12:43:11.3297804-04:00,2026-09-13T12:43:26.3950837-04:00,19500,Paced,5.000000,10.014644,"19,109.80",91548,0,0,4001,21.563,0.001,51.200,21.648,0,0.000,0.000,3000,10000
5,95018,"19,003.60",91535,0,3483,96.33%,"18,307.00",2026-09-13T12:43:27.4188096-04:00,2026-09-13T12:43:42.5141118-04:00,19500,Paced,5.000000,10.002336,"19,003.60",91535,0,0,3483,27.116,0.001,51.200,27.167,0,0.000,0.000,3000,10000
6,95699,"19,139.80",91499,0,4200,95.61%,"18,299.80",2026-09-13T12:43:43.5419641-04:00,2026-09-13T12:43:58.6238471-04:00,19500,Paced,5.000000,10.012650,"19,139.80",91499,0,0,4200,24.061,0.001,51.200,24.113,0,0.000,0.000,3000,10000
7,95607,"19,121.40",91528,0,4079,95.73%,"18,305.60",2026-09-13T12:43:59.6535980-04:00,2026-09-13T12:44:14.7694508-04:00,19500,Paced,5.000000,10.002868,"19,121.40",91528,0,0,4079,25.998,0.001,51.200,26.050,0,0.000,0.000,3000,10000
8,95009,"19,001.80",90757,0,4252,95.52%,"18,151.40",2026-09-13T12:44:15.7976180-04:00,2026-09-13T12:44:30.9416293-04:00,19500,Paced,5.000000,10.004613,"19,001.80",90757,0,0,4252,29.833,0.001,51.200,29.884,0,0.000,0.000,3000,10000
9,95511,"19,102.20",91295,0,4216,95.59%,"18,259.00",2026-09-13T12:44:31.9648075-04:00,2026-09-13T12:44:47.0586881-04:00,19500,Paced,5.000000,10.002940,"19,102.20",91295,0,0,4216,29.207,0.001,51.200,29.274,0,0.000,0.000,3000,10000
